,date,count,time_stamp,type
0,2009-09-28,1.0,1254067200.0,c9
1,2009-10-10,1.0,1255104000.0,c9
2,2009-10-11,2.0,1255190400.0,c9
3,2009-10-12,4.0,1255276800.0,c9
4,2009-10-13,9.0,1255363200.0,c9
5,2009-10-14,5.0,1255449600.0,c9
6,2009-10-15,5.0,1255536000.0,c9
7,2009-10-16,9.0,1255622400.0,c9
8,2009-10-17,7.0,1255708800.0,c9
9,2009-10-18,5.0,1255795200.0,c9
10,2009-10-19,12.0,1255881600.0,c9
11,2009-10-20,12.0,1255968000.0,c9
12,2009-10-21,9.0,1256054400.0,c9
13,2009-10-22,11.0,1256140800.0,c9
14,2009-10-23,10.0,1256227200.0,c9
15,2009-10-24,5.0,1256313600.0,c9
16,2009-10-25,3.0,1256400000.0,c9
17,2009-10-26,12.0,1256486400.0,c9
18,2009-10-27,13.0,1256572800.0,c9
19,2009-10-28,12.0,1256659200.0,c9
20,2009-10-29,11.0,1256745600.0,c9
21,2009-10-30,10.0,1256832000.0,c9
22,2009-10-31,10.0,1256918400.0,c9
23,2009-11-01,5.0,1257004800.0,c9
24,2009-11-02,14.0,1257091200.0,c9
25,2009-11-03,10.0,1257177600.0,c9
26,2009-11-04,16.0,1257264000.0,c9
27,2009-11-05,10.0,1257350400.0,c9
28,2009-11-06,11.0,1257436800.0,c9
29,2009-11-07,4.0,1257523200.0,c9
30,2009-11-08,7.0,1257609600.0,c9
31,2009-11-09,9.0,1257696000.0,c9
32,2009-11-10,11.0,1257782400.0,c9
33,2009-11-11,10.0,1257868800.0,c9
34,2009-11-12,12.0,1257955200.0,c9
35,2009-11-13,10.0,1258041600.0,c9
36,2009-11-14,4.0,1258128000.0,c9
37,2009-11-15,3.0,1258214400.0,c9
38,2009-11-16,8.0,1258300800.0,c9
39,2009-11-17,9.0,1258387200.0,c9
40,2009-11-18,13.0,1258473600.0,c9
41,2009-11-19,9.0,1258560000.0,c9
42,2009-11-20,2.0,1258646400.0,c9
43,2009-11-21,6.0,1258732800.0,c9
44,2009-11-22,1.0,1258819200.0,c9
45,2009-11-23,6.0,1258905600.0,c9
46,2009-11-24,7.0,1258992000.0,c9
47,2009-11-25,9.0,1259078400.0,c9
48,2009-11-26,4.0,1259164800.0,c9
49,2009-11-27,9.0,1259251200.0,c9
50,2009-11-28,9.0,1259337600.0,c9
51,2009-11-29,1.0,1259424000.0,c9
52,2009-11-30,5.0,1259510400.0,c9
53,2009-12-01,7.0,1259596800.0,c9
54,2009-12-02,5.0,1259683200.0,c9
55,2009-12-03,6.0,1259769600.0,c9
56,2009-12-04,5.0,1259856000.0,c9
57,2009-12-05,2.0,1259942400.0,c9
58,2009-12-06,1.0,1260028800.0,c9
59,2009-12-07,3.0,1260115200.0,c9
60,2009-12-08,7.0,1260201600.0,c9
61,2009-12-09,6.0,1260288000.0,c9
62,2009-12-10,6.0,1260374400.0,c9
63,2009-12-11,5.0,1260460800.0,c9
64,2009-12-12,4.0,1260547200.0,c9
65,2009-12-14,6.0,1260720000.0,c9
66,2009-12-15,6.0,1260806400.0,c9
67,2009-12-16,2.0,1260892800.0,c9
68,2009-12-17,7.0,1260979200.0,c9
69,2009-12-18,5.0,1261065600.0,c9
70,2009-12-19,2.0,1261152000.0,c9
71,2009-12-20,2.0,1261238400.0,c9
72,2009-12-21,5.0,1261324800.0,c9
73,2009-12-23,3.0,1261497600.0,c9
74,2009-12-25,1.0,1261670400.0,c9
75,2009-12-28,3.0,1261929600.0,c9
76,2009-12-29,6.0,1262016000.0,c9
77,2009-12-30,3.0,1262102400.0,c9
78,2010-01-14,1.0,1263398400.0,c9
79,2010-01-15,1.0,1263484800.0,c9
80,2010-01-16,1.0,1263571200.0,c9
81,2010-03-05,1.0,1267718400.0,c9
82,2010-03-08,1.0,1267977600.0,c9
83,2010-03-09,4.0,1268064000.0,c9
84,2010-03-10,3.0,1268150400.0,c9
85,2010-03-11,2.0,1268236800.0,c9
86,2010-03-12,4.0,1268323200.0,c9
87,2010-03-15,2.0,1268582400.0,c9
88,2010-03-16,3.0,1268668800.0,c9
89,2010-03-17,3.0,1268755200.0,c9
90,2010-03-19,2.0,1268928000.0,c9
91,2010-03-20,1.0,1269014400.0,c9
92,2010-03-22,1.0,1269187200.0,c9
93,2010-03-24,1.0,1269360000.0,c9
94,2010-03-26,1.0,1269532800.0,c9
95,2010-03-27,2.0,1269619200.0,c9
96,2010-03-29,4.0,1269792000.0,c9
97,2010-03-30,2.0,1269878400.0,c9
98,2010-03-31,2.0,1269964800.0,c9
99,2010-04-01,4.0,1270051200.0,c9
100,2010-04-06,3.0,1270483200.0,c9
101,2010-04-07,1.0,1270569600.0,c9
102,2010-04-08,1.0,1270656000.0,c9
103,2010-04-13,1.0,1271088000.0,c9
104,2010-04-15,1.0,1271260800.0,c9
105,2010-04-19,1.0,1271606400.0,c9
106,2010-04-20,2.0,1271692800.0,c9
107,2010-04-22,3.0,1271865600.0,c9
108,2010-04-23,1.0,1271952000.0,c9
109,2010-04-26,1.0,1272211200.0,c9
110,2010-04-29,2.0,1272470400.0,c9
111,2010-05-12,1.0,1273593600.0,c9
112,2010-05-14,3.0,1273766400.0,c9
113,2010-05-17,1.0,1274025600.0,c9
114,2010-05-19,2.0,1274198400.0,c9
115,2010-05-21,3.0,1274371200.0,c9
116,2010-05-23,1.0,1274544000.0,c9
117,2010-05-25,2.0,1274716800.0,c9
118,2010-05-26,1.0,1274803200.0,c9
119,2010-05-27,1.0,1274889600.0,c9
120,2010-05-28,1.0,1274976000.0,c9
121,2010-05-30,1.0,1275148800.0,c9
