,name,value,c9,985,211,top,basic
0,2013-01-04,0,0,1,1,1,1
1,2013-01-05,0,0,0,2,2,2
2,2013-01-06,0,0,2,3,3,3
3,2013-01-07,0,0,2,8,8,8
4,2013-01-08,0,1,7,8,8,10
5,2013-01-09,0,1,5,7,9,9
6,2013-01-10,0,0,4,7,7,7
7,2013-01-11,0,0,1,2,2,2
8,2013-01-14,0,0,3,3,6,6
9,2013-01-15,0,0,0,1,1,1
10,2013-01-16,0,0,0,3,3,3
11,2013-01-17,0,0,0,0,3,3
12,2013-01-18,0,0,1,2,4,4
13,2013-01-19,0,0,3,3,3,3
14,2013-01-21,0,0,4,4,4,4
15,2013-01-27,0,0,3,3,3,3
16,2013-01-28,0,0,1,1,1,1
17,2013-01-30,0,0,1,1,1,1
18,2013-02-03,0,0,1,1,1,1
19,2013-02-12,0,0,1,1,1,1
20,2013-02-17,0,0,1,1,1,1
21,2013-02-20,0,0,1,1,1,1
22,2013-02-21,0,0,5,5,5,5
23,2013-02-22,0,0,1,1,1,1
24,2013-02-23,0,0,1,1,1,1
25,2013-02-25,0,0,5,5,5,5
26,2013-02-26,0,0,6,6,6,6
27,2013-02-27,0,0,5,6,8,8
28,2013-02-28,0,0,1,1,2,3
29,2013-03-01,0,0,5,7,7,7
30,2013-03-02,0,0,0,1,1,1
31,2013-03-03,0,0,1,1,1,1
32,2013-03-04,0,1,11,16,23,24
33,2013-03-05,0,0,8,12,23,23
34,2013-03-06,0,1,7,16,22,25
35,2013-03-07,0,1,12,25,30,30
36,2013-03-08,0,1,7,15,19,20
37,2013-03-09,0,0,6,8,9,10
38,2013-03-10,0,0,3,3,4,4
39,2013-03-11,0,0,10,20,27,29
40,2013-03-12,0,1,14,25,31,33
41,2013-03-13,0,3,17,36,41,44
42,2013-03-14,0,3,18,37,43,43
43,2013-03-15,0,2,16,25,35,37
44,2013-03-16,0,0,4,7,8,8
45,2013-03-17,0,0,3,5,6,6
46,2013-03-18,0,2,12,25,34,34
47,2013-03-19,0,2,20,37,43,80
48,2013-03-20,0,0,12,28,36,56
49,2013-03-21,0,3,24,42,52,53
50,2013-03-22,0,288,295,305,314,315
51,2013-03-23,0,0,3,5,8,8
52,2013-03-24,0,0,3,7,10,10
53,2013-03-25,0,1,6,21,26,29
54,2013-03-26,0,1,7,19,30,30
55,2013-03-27,0,1,12,36,56,60
56,2013-03-28,0,2,11,29,37,38
57,2013-03-29,0,2,8,35,43,45
58,2013-03-30,0,0,12,14,15,16
59,2013-03-31,0,0,2,2,2,2
60,2013-04-01,0,0,9,28,33,34
61,2013-04-02,0,0,10,25,27,27
62,2013-04-03,0,0,9,19,20,21
63,2013-04-05,0,0,0,1,1,1
64,2013-04-07,0,0,1,4,7,9
65,2013-04-08,0,2,14,28,33,34
66,2013-04-09,0,1,14,33,40,40
67,2013-04-10,0,0,9,24,29,50
68,2013-04-11,0,0,6,21,26,31
69,2013-04-12,0,1,10,28,31,33
70,2013-04-13,0,0,20,21,23,24
71,2013-04-14,0,0,3,3,4,4
72,2013-04-15,0,2,9,26,28,29
73,2013-04-16,0,0,8,24,25,26
74,2013-04-17,0,2,13,32,39,45
75,2013-04-18,0,0,14,37,44,45
76,2013-04-19,0,2,7,17,21,21
77,2013-04-20,0,0,0,1,3,3
78,2013-04-21,0,0,1,1,1,1
79,2013-04-22,0,1,8,22,25,25
80,2013-04-23,0,2,23,30,33,33
81,2013-04-24,0,0,3,9,13,13
82,2013-04-25,0,1,3,94,100,101
83,2013-04-26,0,0,37,43,46,47
84,2013-04-27,0,1,5,9,10,10
85,2013-04-28,0,0,5,5,7,7
86,2013-05-02,0,1,2,3,3,3
87,2013-05-03,0,0,3,5,6,6
88,2013-05-04,0,0,2,2,3,3
89,2013-05-06,0,1,1,4,7,7
90,2013-05-07,0,1,4,11,13,14
91,2013-05-08,0,0,3,12,15,16
92,2013-05-09,0,0,10,15,20,21
93,2013-05-10,0,0,4,13,17,17
94,2013-05-12,0,0,0,0,1,1
95,2013-05-13,0,1,9,14,17,18
96,2013-05-14,0,0,5,10,15,15
97,2013-05-15,0,1,2,6,8,8
98,2013-05-16,0,0,5,6,8,10
99,2013-05-17,0,0,4,12,13,13
100,2013-05-18,0,0,1,1,2,2
101,2013-05-19,0,0,2,2,2,3
102,2013-05-20,0,1,3,5,7,7
103,2013-05-21,0,0,7,11,20,20
104,2013-05-22,0,1,4,6,6,7
105,2013-05-23,0,0,5,7,8,9
